Label,Northing,Easting,Elevation
43396,4475883.857,337590.947,2239.065
43397,4475886.983,337605.348,2238.476
43398,4475890.607,337619.327,2237.725
43399,4475894.406,337631.889,2236.89
43400,4475899.423,337649.256,2236.022
43401,4475899.218,337658.905,2235.594
43402,4475904.435,337673.232,2235.279
43403,4475906.474,337685.638,2234.701
43404,4475909.902,337700.549,2234.261
43405,4475913.516,337715.174,2233.683
43406,4475917.825,337728.498,2233.497
43407,4475921.86,337742.523,2232.688
43408,4475925.869,337754.89,2232.241
43409,4475931.024,337770.4,2231.546
43410,4475936.52,337786.694,2230.653
43411,4475940.225,337798.504,2229.841
43412,4475945.283,337812.188,2228.999
43413,4475951.556,337828.672,2228.25
43414,4475956.266,337842.378,2227.425
43415,4475962.252,337858.271,2226.647
43416,4475967.483,337868.478,2226.793
43417,4475972.187,337884.707,2225.675
43418,4475975.686,337900.515,2224.768
43419,4475978.83,337915.192,2224.632
43420,4475981.084,337933.427,2223.877
43421,4475982.337,337947.387,2223.183
43422,4475983.295,337961.474,2222.818
43423,4475983.598,337976.429,2222.246
43424,4475984.509,337990.409,2222.023
43425,4475985.414,338005.367,2221.455
43426,4475986.713,338023.042,2221.129
43427,4475988.021,338038.768,2220.692
43428,4475988.44,338053.425,2220.083
43429,4475990.045,338068.762,2219.691
43430,4475992.071,338081.778,2218.855
43431,4475989.221,338098.253,2217.782
43432,4475986.707,338113.825,2215.949
43433,4475983.621,338126.259,2215.027
43434,4475978.037,338140.441,2214.31
43435,4475972.786,338154.747,2213.722
43436,4475966.934,338169.121,2213.005
43437,4475960.728,338183.838,2212.335
43438,4475954.516,338197.881,2212.034
